Designator,Mid X,Mid Y,Rotation,Layer
D1,102.235,-72.93,270.0,top
D2,102.235,-65.405,270.0,top
D3,126.1975,-73.125,90.0,top
D4,126.1975,-65.505,90.0,top
J1,114.3,-62.23,270.0,top
J2,113.67,-74.295,270.0,top
J3,98.425,-66.035,0.0,top
J4,98.425,-73.025,0.0,top
J5,130.145,-73.03,180.0,top
J6,130.145,-66.045,180.0,top
Q1,106.3775,-67.31,0.0,top
Q2,106.3475,-74.93,0.0,top
Q3,122.1925,-71.12,180.0,top
Q4,122.2225,-63.5,180.0,top
R1,110.49,-65.6825,270.0,top
R2,113.03,-65.7625,270.0,top
R3,115.57,-65.7625,270.0,top
R4,118.11,-65.7625,270.0,top
R5,118.11,-70.2075,270.0,top
R6,115.57,-70.2075,270.0,top
R7,113.03,-70.2075,270.0,top
R8,110.49,-70.2075,270.0,top
